,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
34,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,,,,,,,,,,,,,,,
35,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),,,,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),,,,,,,,,,,,,,,,
36,r( U -> Z1 und ),r( U -> Z1 und ),,,r( U -> Z1 und ),,r( U -> Z1 und ),r( U -> Z1 und ),,r( U -> Z1 und ),,,,,r( U -> Z1 und ),,,r( U -> Z1 und ),,,r( U -> Z1 und ),,,,,,,,,,,,,,,,
37,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),,,,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),,,,,,,,,,,,,,,,
38,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,,,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,r( Z7 -> zwan zig ),,,,,,,,r( Z7 -> zwan zig ),,,,,,,,,,,,,,,,
40,,,,,,r( Z2 -> ZS zehn ),,,,,,,r( Z2 -> ZS zehn ),,,,,,,,r( Z2 -> ZS zehn ),,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,r( Z7 -> ZS zig ),,,,,,,,r( Z7 -> ZS zig ),,,,,,,,,,,,,,,,
42,,,,,,r( Z2 -> Z34 zehn ),,,,,,,r( Z2 -> Z34 zehn ),,,,,,,,r( Z2 -> Z34 zehn ),,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,r( Z7 -> Z34 zig ),,,,,,,,r( Z7 -> Z34 zig ),,,,,,,,,,,,,,,,
44,r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),,r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),,r( Z9 -> Z34 Z5 ),,r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),,r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),r( Z9 -> Z34 Z5 ),,,,,,,,,,,,,,,,
45,r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),,,,r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),,r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),r( Z13 -> Z34 Z6 ),,,,,,,,,,,,,,,,
46,r( U -> Z34 und ),r( U -> Z34 und ),,,r( U -> Z34 und ),,r( U -> Z34 und ),r( U -> Z34 und ),,r( U -> Z34 und ),,,,,r( U -> Z34 und ),,,r( U -> Z34 und ),,,r( U -> Z34 und ),,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,r( Z11 -> Z5 Z1 ),s36,,,,,,,r( Z11 -> Z5 Z1 ),,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,r( Z11 -> Z5 Z2 ),,,,,,,,r( Z11 -> Z5 Z2 ),,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,r( Z11 -> Z5 Z7 ),,,,,,,,r( Z11 -> Z5 Z7 ),,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,r( Z11 -> Z5 Z8 ),,,,,,,,r( Z11 -> Z5 Z8 ),,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,r( Z11 -> Z5 Z34 ),s46,,s42,s43,,,,r( Z11 -> Z5 Z34 ),,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,s40,s41,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,s39,,,,,,,,,,,,,,,,,,,,
54,s29,s82,,,s28,,s30,s25,,s26,,,,,s27,,,s53,,,,,,,80,81,,,79,,,,,,,,
55,,,,,,s31,,,,,,,,s36,,,,,,,r( Z14 -> Z6 Z1 ),,,,,,34,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z2 ),,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z7 ),,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z8 ),,,,,,,,,,,,,,,,
59,s29,s19,s17,s23,s28,,s30,s25,s20,s26,s21,,,,s27,s22,,s53,s18,s24,r( Z14 -> Z6 Z9 ),,65,66,69,52,,,67,68,,,,,,,54
60,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z11 ),,,,,,,,,,,,,,,,
61,,,,,,s31,,,,,,,,s46,,s42,s43,,,,r( Z14 -> Z6 Z34 ),,,,,,44,,,,,,,,,,
62,s29,s19,s17,s23,s28,,s30,s25,s20,s26,s21,,,,s27,s22,,s53,s18,s24,,,47,48,51,52,,,49,50,,,,,,,54
63,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),,,,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),,,,,,,,,,,,,,,,
64,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),,,,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,r( Z11 -> Z9 Z1 ),s36,,,,,,,r( Z11 -> Z9 Z1 ),,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,r( Z11 -> Z9 Z2 ),,,,,,,,r( Z11 -> Z9 Z2 ),,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,r( Z11 -> Z9 Z7 ),,,,,,,,r( Z11 -> Z9 Z7 ),,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,r( Z11 -> Z9 Z8 ),,,,,,,,r( Z11 -> Z9 Z8 ),,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,r( Z11 -> Z9 Z34 ),s46,,s42,s43,,,,r( Z11 -> Z9 Z34 ),,,,,,,,,,,,,,,,
