,ACTIONS,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,
ESTADOS,A,Ac1,Ac2,Ac3,Ac4,C1,C2,C3,C4,N1,N2,N3,N4,N5,Sh1,Sh2,Sh3,Sh4,Sh5,Sv1,Sv2,Sv3,Sv4,Sv5,$,S0,S,SH1,SH2,SH3,SH4,SH5,SV1,SV2,SV3,SV4,SV5,n1,n2,n3,n4,n5,AC1,AC2,AC3,AC4,c1,c2,c3,c4
40,r( SV2 -> Sv2 n2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,r( SV2 -> Sv2 n3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,r( SV3 -> Sv3 n4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,r( SV3 -> Sv3 n5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,s52,s56,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,62,63,,,,
45,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,
46,r( SV4 -> Sv4 n4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,r( SV4 -> Sv4 n5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,r( SV5 -> Sv5 n5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,r( n1 -> N1 AC1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,r( n1 -> N1 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,s68,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,66,67,
52,,,,,,s68,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,72,73,
53,r( n2 -> N2 AC1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r( n2 -> N2 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r( n2 -> N2 AC3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,s68,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,75,76,
57,r( n3 -> N3 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r( n3 -> N3 AC3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,r( n3 -> N3 AC4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
61,r( n4 -> N4 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r( n4 -> N4 AC3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,r( n4 -> N4 AC4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,r( n5 -> N5 AC4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,r( AC1 -> Ac1 c1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,r( AC1 -> Ac1 c2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,r( AC1 -> Ac1 c3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r( c1 -> C1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,r( c2 -> C2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r( c3 -> C3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,r( AC2 -> Ac2 c1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,r( AC2 -> Ac2 c2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,r( AC2 -> Ac2 c3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,r( AC3 -> Ac3 c1 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r( AC3 -> Ac3 c2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,r( AC3 -> Ac3 c3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,r( AC4 -> Ac4 c4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,r( c4 -> C4 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
