,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
62,r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),EXTRAER,EXTRAER,EXTRAER,r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),EXTRAER,r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),EXTRAER,EXTRAER,EXTRAER,r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),EXTRAER,r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s27,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s36,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z13 Z1 ),-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
65,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z13 Z2 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z13 Z7 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z13 Z8 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,s32,s18,s16,s23,s31,EXTRAER,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,r( Z14 -> Z13 Z9 ),-,58,59,21,46,-,-,60,61,-,-,-,-,-,-,48
69,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z13 Z11 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z8 -> U Z7 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z8 -> U Z7 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s77,EXTRAER,EXTRAER,EXTRAER,EXTRAER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s41,EXTRAER,EXTRAER,EXTRAER,EXTRAER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s75,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> drei zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> drei zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> drei zehn ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> drei ssig ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> drei ssig ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> Z34 zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> Z34 zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> Z34 zehn ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> Z34 zig ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> Z34 zig ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s36,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z12 -> Z10 Z1 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z12 -> Z10 Z2 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z12 -> Z10 Z7 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z12 -> Z10 Z8 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
