,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
18,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> drei ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s75,r( Z1 -> drei ),r( Z1 -> drei ),EXTRAER,s74,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> drei ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> sechs ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> sechs ),r( Z1 -> sechs ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> sechs ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> sieben ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> sieben ),r( Z1 -> sieben ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> sieben ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> Z34 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> Z34 ),r( Z1 -> Z34 ),EXTRAER,s76,s77,EXTRAER,EXTRAER,EXTRAER,r( Z1 -> Z34 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> zehn ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> elf ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> elf ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> elf ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> zwölf ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> zwölf ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> zwölf ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( ZS -> sech ),r( ZS -> sech ),EXTRAER,EXTRAER,EXTRAER,r( ZS -> sech ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( ZS -> sieb ),r( ZS -> sieb ),EXTRAER,EXTRAER,EXTRAER,r( ZS -> sieb ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),EXTRAER,r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),EXTRAER,r( Z5 -> hundert ),EXTRAER,r( Z5 -> hundert ),r( Z5 -> hundert ),EXTRAER,r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),EXTRAER,EXTRAER,EXTRAER,r( Z6 -> tausend ),r( Z6 -> tausend ),EXTRAER,r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,s32,s18,s16,s23,s31,EXTRAER,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,EXTRAER,-,78,79,21,46,-,-,80,81,-,-,-,-,-,-,48
30,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> vier ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> vier ),r( Z34 -> vier ),EXTRAER,r( Z34 -> vier ),r( Z34 -> vier ),EXTRAER,EXTRAER,EXTRAER,r( Z34 -> vier ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> fünf ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> fünf ),r( Z34 -> fünf ),EXTRAER,r( Z34 -> fünf ),r( Z34 -> fünf ),EXTRAER,EXTRAER,EXTRAER,r( Z34 -> fünf ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> acht ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> acht ),r( Z34 -> acht ),EXTRAER,r( Z34 -> acht ),r( Z34 -> acht ),EXTRAER,EXTRAER,EXTRAER,r( Z34 -> acht ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> neun ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z34 -> neun ),r( Z34 -> neun ),EXTRAER,r( Z34 -> neun ),r( Z34 -> neun ),EXTRAER,EXTRAER,EXTRAER,r( Z34 -> neun ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),EXTRAER,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),EXTRAER,r( Z9 -> Z1 Z5 ),EXTRAER,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),EXTRAER,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
